previous_date,current_date,threshold_95,actual_return,breach_95,threshold_99,breach_99
2008-12-19,2008-12-22,-0.03178290761128607,-0.0032987747408106394,False,-0.04804034829203561,False
2008-12-22,2008-12-23,-0.0308599076606141,-0.002971968929415758,False,-0.046645219827197874,False
2008-12-23,2008-12-24,-0.02995760915133771,-0.005961655714382452,False,-0.04528138190591121,False
2008-12-24,2008-12-26,-0.02763317098735156,0.0018401144960129567,False,-0.044138388252988416,False
2008-12-26,2008-12-29,-0.02680585704767851,-0.007414965986394462,False,-0.04281692196549238,False
2008-12-29,2008-12-30,-0.02623096295406717,-0.013432938112535209,False,-0.0418986452060216,False
2008-12-30,2008-12-31,-0.0262336776226479,0.01556095866620355,False,-0.041902981338702475,False
2008-12-31,2009-01-02,-0.026504805117014453,-0.006772009029345383,False,-0.0423360525420721,False
2009-01-02,2009-01-05,-0.025901408445225347,0.005647382920110244,False,-0.04137224869262684,False
2009-01-05,2009-01-06,-0.025257710708491383,0.011984659635666306,False,-0.04034407206264331,False
2009-01-06,2009-01-07,-0.025152531318601512,0.03227989443053403,False,-0.0401760693115549,False
2009-01-07,2009-01-08,-0.02887751542964113,-0.004195620820768409,False,-0.04612597621889234,False
2009-01-08,2009-01-09,-0.02806986974912364,0.003225806451613078,False,-0.04483592598781871,False
2009-01-09,2009-01-12,-0.027258604120038204,-0.027035894743749678,False,-0.04354009362282274,False
2009-01-12,2009-01-13,-0.02943226905712654,-0.02016591353611641,False,-0.04701208266704165,False
2009-01-13,2009-01-14,-0.03012714300601902,0.006126101321585864,False,-0.04812200292039015,False
2009-01-14,2009-01-15,-0.029356464063703475,-0.001026202367106821,False,-0.046890999558890444,False
2009-01-15,2009-01-16,-0.02846639477889661,0.009245308861799861,False,-0.04546929433067586,False
2009-01-16,2009-01-20,-0.02795244144465318,-0.04844948089841883,True,-0.04464835807905501,True
2009-01-20,2009-01-21,-0.037709374123969804,-0.02103686800256732,False,-0.05782118745781425,False
2009-01-21,2009-01-22,-0.038080662760479236,0.008158508158508049,False,-0.05839049814915564,False
2009-01-22,2009-01-23,-0.037150955151083374,-0.013150289017341055,False,-0.0569649428538832,False
2009-01-23,2009-01-26,-0.03662945862205631,0.022111582955044673,False,-0.05616531280793379,False
